vessel_name,imo
SOUTHERN REVERENCE,9783916
SOUTHERN ROUSE,9783928
STAR RIVER,9815458
STAR SHIBUMI,9921623
STENA CONDUCTOR,9934888
STENA CONVOY,9543110
STERLING SVEA,9626687
SUCCESS TRADER,9937581
SW LEGEND,9984170
TAKAO GALAXY,9920069
TAOKAS WISDOM,9338577
TARSUS M,9188908
TAURUS,9273818
TEXAS TRIUMPH,9737503
THALASSINI AGATHA,9479204
THALASSINI AVRA,9500704
TIANJIN BRIDGE,9282962
TML,9256975
TOROS M,9241358
TRADER II,9238038
TRAMMO CORNELL,9543081
TRAMMO MARYCAM,9409168
TRAMMO PARIS,9792515
TRANSFORMER OL,9550216
TRISTAR COURAGE,9540912
TRISTAR LEGEND,9505479
TRUE CARTIER,9691553
TRUE CHAMPION,9403528
TRUE CONRAD,9778430
TRUE NEPTUNE,9778416
FAIRCHEM INTEGRITY,9860192
TSUKUBA GALAXY,9796834
TSURUGI GALAXY,9875501
TWEED,9865740
UACC MANAMA,9458822
UACC MANSOURIA,9489089
UACC MARAH,9489091
UACC RIYADH,9458834
UACC SHAMIYA,9458858
UNITY ADVENTURE,9658965
UNITY DISCOVERY,9726047
UNITY EXPLORER,9726035
UNITY FORCE,9726023
UNITY MOON,9832432
UNITY N,9490466
UNITY NEPTUNE,9790919
UNITY NORTH,9687136
UNITY ODYSSEY,9668934
UNITY SAKURA,9782209
UNITY SPIRIT,9725938
UNITY STAR,9687148
UOG HARRIET G,9485631
UOG HELIOS,9470909
UOG IOANNIS V,9485629
UOG KYMA,9433810
UOG LAMYRA,9489065
UOG OSLO,9451707
UOG PHOENIX,9402794
UOG STENIES,9489077
UOG SYROS,9472751
VEGA STETIND,9392729
VELOS AMBER,9571038
VELOS ONYX,9682966
VINAYAK,9493951
VIRGEN DE LA AURORA,9667930
VIRGEN DEL CISNE,9428372
VIRGEN DEL QUINCHE,9568031
VORIAS,9448322
VS87,9256999
WHITE ALLEGRA,9973353
WHITE CLIFFS,9902172
WHITE HORSE,9799111
WHITE PEARL,9917957
WHITE STAR,9799109
WISCO ADVENTURE,9858852
WORLD DIANA,9875214
WORLD PRIZE,9860403
WORLD RUBY,9860398
WORLD VIRTUE,9860374
WORLDSHIP,9624457
XIN XIANG SEA,9954967
XIN YUE,9439046
XIN ZHENG SEA,9954993
XIN ZHI SEA,9955014
YALE,9331244
YEOSU VOYAGER,9963138
YI BAO,9430272
ZOLA,9700146
CL MAOMING,9977361
CL YANGJIANG,9977373
CL ZHANGJIAJIE,9953365
CL ZHANJIANG,9977359
JKT MIRACLE,9278662
BOW COUGAR,9989211
BOW TIGER,9989223
CHINOOK I,1021673
MICA,9399935
SOUTHERN RESPECT,9989089
JNS HARMONY,1061532
JNS PEACE,1068994
JNS FRIENDSHIP,1061520
AMNS POLAR,9521813
AGROPROSPERIS 1,9516703
CMC ANCUD,9681106
VALERY ROMA,9360336
MH NORIKURA,9994694
AMNS MAXIMUS,9628893
AMNS STALLION,9628910
MH KONPIRA,9994682
NORD UTOPIA,9767584
NORD KUDU,9623740
MAERSK EL ALTO,9964508
SPAR CASTOR,9719666
SPAR NORMA,9774850
SPAR CAPELLA,9490844
SPAR RIGEL,9557111
SPAR CORONA,9497830
SPAR APUS,9734989
SPAR OCTANE,9735000
SPAR GEMINI,9307580
ZY NINGBO,1018183
JNS PROSPERITY,1068982
FUGA,9624615
ZY YULONG,1049807
MAERSK EL BOSQUE,9964522
MH DAISEN,9997218
NORD VALHALLA,9985825
SHIRAYUKI,9398084
CHEMROAD SAKURA,9757967
HAKATA,9346952
LNGT KARADENIZ,9343106
HL PORT HEDLAND,9454527
NORD MARVEL,9877561
NORD MAVERICK,9877559
GRIYA ENIM,9178238
MAHOGANI BANDA,9830874
MICHELLE XXV,9321110
S KYLIAN,9968401
S NICOLEEN,9762015
SINAR BUSAN,9346483
SINAR AGRA,9349124
GORDONS BAY,9997220
BASIC PASSION,1083425
SG HORIZON,1015624
DIXON,9744075
TAMBLING,9744063
